,Name,Description,Ingredients,Instructions,Season
51,Set Dosa,"Soft, spongy dosas served in sets of two or three with chutney and sagu.","2 cups rice, 1 cup urad dal, 1/2 cup poha, 1/4 cup curd, 1 tsp salt, 1/2 tsp baking soda","1. Soak rice, urad dal, and poha separately for 4 hours. 2. Grind into a smooth batter and let it ferment overnight. 3. Add salt and baking soda, then mix well. 4. Heat a pan and pour a ladle of batter. 5. Cook on medium flame without flipping. 6. Serve hot with coconut chutney and vegetable sagu.",Summer
52,Uppittu (Karnataka Style Upma),"A flavorful upma made with semolina, coconut, and spices.","1 cup semolina, 2 cups water, 1 tbsp ghee, 1/2 tsp mustard seeds, 1/2 tsp cumin, 1 green chili, 1 onion (chopped), 1/2 tsp turmeric, 1/4 cup grated coconut, 1 tbsp lemon juice","1. Dry roast semolina until aromatic. 2. Heat ghee in a pan and add mustard seeds, cumin, and green chili. 3. Add chopped onion and sauté until translucent. 4. Pour in water, add turmeric and salt, and bring to a boil. 5. Slowly add semolina while stirring. 6. Cook for 2-3 minutes and mix in grated coconut and lemon juice. 7. Serve warm with chutney or pickle.",Rainy
53,Thatte Idli,"A larger, flatter version of idli, famous in Karnataka.","2 cups idli rice, 1 cup urad dal, 1/2 tsp fenugreek seeds, 1/2 tsp salt",1. Soak rice and urad dal with fenugreek seeds for 6 hours. 2. Grind to a smooth batter and ferment overnight. 3. Add salt and mix well. 4. Grease large flat plates and pour batter into them. 5. Steam for 10-12 minutes until cooked. 6. Serve hot with chutney and sambar.,Winter
54,Kanchipuram Idli,"A spiced version of idli with black pepper, cumin, and ginger.","2 cups idli rice, 1 cup urad dal, 1/2 tsp cumin, 1/2 tsp black pepper, 1/2 tsp turmeric, 1 tbsp ghee, 1 tsp grated ginger, 1/2 tsp salt","1. Soak rice and urad dal for 6 hours. 2. Grind into a thick batter and ferment overnight. 3. Heat ghee in a pan and add cumin, black pepper, and ginger. 4. Mix this tempering into the batter with turmeric and salt. 5. Pour into greased idli molds and steam for 12-15 minutes. 6. Serve hot with coconut chutney and sambar.",Rainy
55,Pesarattu,"A crispy green gram dosa, typically served with ginger chutney.","1 cup green gram, 1/2 inch ginger, 1 green chili, 1 tbsp rice flour, 1/2 tsp salt, 1/2 tsp cumin, 1 tbsp chopped onions","1. Soak green gram overnight. 2. Grind with ginger, green chili, and salt into a smooth batter. 3. Mix in rice flour, cumin, and chopped onions. 4. Heat a pan and spread the batter thinly. 5. Drizzle oil and cook until golden brown. 6. Flip and cook the other side. 7. Serve hot with ginger chutney.",Summer
56,Rava Pongal,A twist on traditional pongal using semolina instead of rice.,"1/2 cup semolina, 1/4 cup moong dal, 2 cups water, 1/2 tsp black pepper, 1/2 tsp cumin, 1 tbsp ghee, 1/2 tsp ginger (grated), 1 tbsp cashews","1. Dry roast moong dal until fragrant and cook it with water until soft. 2. Roast semolina separately. 3. Heat ghee in a pan and add black pepper, cumin, ginger, and cashews. 4. Add cooked moong dal and semolina while stirring. 5. Mix well and cook for 2-3 minutes until thickened. 6. Serve warm with coconut chutney.",Winter
57,Pain Perdu (French Toast),A classic French breakfast made with stale bread soaked in a sweetened egg mixture and fried to perfection.,"4 slices of bread, 2 eggs, 1/2 cup milk, 1 tbsp sugar, 1/2 tsp cinnamon, 1/2 tsp vanilla extract, 1 tbsp butter, maple syrup for serving","1. In a bowl, whisk eggs, milk, sugar, cinnamon, and vanilla extract. 2. Dip each bread slice into the mixture, ensuring it soaks well. 3. Heat butter in a pan and cook each slice until golden brown on both sides. 4. Serve warm with maple syrup and optional fruit toppings.",Winter
58,Croque Monsieur,A delicious French grilled ham and cheese sandwich topped with béchamel sauce.,"2 slices white bread, 2 slices ham, 1/2 cup grated Gruyère cheese, 1 tbsp butter, 1 tbsp flour, 1/2 cup milk, 1/4 tsp nutmeg, salt to taste, 1/2 tsp Dijon mustard","1. Melt butter in a pan, add flour, and cook for a minute. 2. Slowly add milk, whisking continuously until thick. 3. Add nutmeg, salt, and Dijon mustard, then set aside. 4. Assemble the sandwich with ham and cheese between bread slices. 5. Spread béchamel sauce on top and broil until golden brown.",Rainy
59,Tortilla Española (Spanish Omelette),"A classic Spanish dish made with eggs, potatoes, and onions, cooked into a thick omelette.","4 eggs, 2 potatoes, 1 onion, 1/4 cup olive oil, salt to taste, black pepper to taste","1. Peel and slice potatoes and onions thinly. 2. Heat olive oil in a pan and fry potatoes and onions until tender. 3. In a bowl, whisk eggs with salt and pepper. 4. Add cooked potatoes and onions to the eggs and mix well. 5. Pour the mixture back into the pan and cook on low heat. 6. Flip carefully and cook until set. 7. Slice and serve warm.",Winter
60,Churros with Hot Chocolate,A popular Spanish breakfast of crispy fried dough served with thick hot chocolate.,"1 cup water, 2 tbsp butter, 1 tbsp sugar, 1 cup flour, 1/2 tsp salt, 1/2 tsp vanilla extract, oil for frying, 1/2 cup sugar for coating, 1 tsp cinnamon, 1/2 cup dark chocolate, 1/2 cup milk","1. Heat water, butter, sugar, and salt in a pan. 2. Add flour and mix until dough forms. 3. Transfer to a piping bag and pipe strips into hot oil. 4. Fry until golden brown and coat in cinnamon sugar. 5. Melt dark chocolate with milk to make a thick dip. 6. Serve warm with hot chocolate.",Winter
61,Pan con Tomate (Spanish Tomato Bread),A simple yet flavorful Spanish breakfast of toasted bread rubbed with garlic and fresh tomatoes.,"2 slices rustic bread, 1 ripe tomato, 1 garlic clove, 1 tbsp olive oil, salt to taste, black pepper to taste","1. Toast the bread until golden and crisp. 2. Cut the garlic clove in half and rub on the toasted bread. 3. Cut the tomato in half and rub over the bread, allowing juices to soak in. 4. Drizzle with olive oil and sprinkle with salt and pepper. 5. Serve immediately.",Summer
62,Madeleines,"Small French butter cakes with a delicate shell shape, perfect for breakfast or tea time.","2 eggs, 1/2 cup sugar, 1/2 cup butter, 1 cup flour, 1 tsp baking powder, 1/2 tsp vanilla extract, 1/2 tsp lemon zest","1. Beat eggs and sugar until light and fluffy. 2. Melt butter and let it cool slightly. 3. Sift in flour and baking powder, folding gently. 4. Add vanilla extract and lemon zest, then mix well. 5. Chill the batter for 30 minutes. 6. Pour into madeleine molds and bake at 375°F (190°C) for 10-12 minutes. 7. Serve warm.",Rainy
63,Ensaimada,"A traditional Spanish sweet pastry made with coiled dough, butter, and powdered sugar.","2 cups flour, 1/2 cup sugar, 1/4 cup butter, 1 egg, 1/2 cup milk, 1/2 tsp yeast, 1/2 tsp salt, powdered sugar for dusting","1. Mix flour, sugar, yeast, and salt in a bowl. 2. Add milk and egg, kneading into a soft dough. 3. Let it rise for 2 hours. 4. Roll out the dough, spread butter, and roll into a coil. 5. Let it rise again for 30 minutes. 6. Bake at 350°F (175°C) for 20 minutes. 7. Dust with powdered sugar before serving.",Summer
64,Tamago Kake Gohan (Egg Over Rice),A simple and traditional Japanese breakfast featuring raw egg mixed with hot rice and soy sauce.,"1 bowl hot steamed rice, 1 fresh egg, 1 tbsp soy sauce, 1/2 tsp dashi powder, 1/2 tsp sesame oil, 1 tbsp chopped green onions, 1/2 tsp toasted sesame seeds","1. Crack the egg into a bowl and whisk it lightly. 2. Add soy sauce, dashi powder, and sesame oil, then mix well. 3. Pour the egg mixture over hot rice and mix thoroughly. 4. Garnish with chopped green onions and toasted sesame seeds. 5. Serve immediately while warm.",Winter
65,Miso Soup with Tofu and Wakame,"A nourishing Japanese miso soup with tofu, wakame seaweed, and green onions.","2 cups dashi stock, 2 tbsp miso paste, 1/2 cup cubed tofu, 1 tbsp dried wakame seaweed, 1 tbsp chopped green onions","1. Heat dashi stock in a pot until warm but not boiling. 2. Add tofu cubes and wakame seaweed, then simmer for 2 minutes. 3. Dissolve miso paste in a small bowl with warm dashi, then stir into the pot. 4. Do not boil the soup after adding miso. 5. Garnish with chopped green onions and serve hot.",Rainy
66,Onigiri (Japanese Rice Balls),"A classic Japanese breakfast or snack made of rice shaped into balls or triangles, often filled with delicious ingredients.","2 cups cooked Japanese rice, 1/2 cup grilled salmon (flaked), 1 tbsp soy sauce, 1 tsp sesame seeds, 2 sheets nori (seaweed), 1/2 tsp salt",1. Wet hands with water and sprinkle with salt. 2. Take a handful of rice and flatten it in your palm. 3. Add a small amount of grilled salmon in the center. 4. Cover the filling with rice and shape into a triangle or ball. 5. Wrap with a strip of nori and sprinkle with sesame seeds. 6. Serve immediately or wrap for later.,Summer
67,Okayu (Japanese Rice Porridge),"A comforting and easy-to-digest rice porridge, often eaten when feeling unwell.","1/2 cup Japanese rice, 2 1/2 cups water, 1/2 tsp salt, 1 tbsp chopped green onions, 1 tsp soy sauce, 1 soft-boiled egg",1. Rinse the rice and soak in water for 30 minutes. 2. Cook rice with 2 1/2 cups of water on low heat until soft and porridge-like. 3. Stir occasionally and add salt for taste. 4. Transfer to a bowl and drizzle soy sauce. 5. Garnish with chopped green onions and a soft-boiled egg. 6. Serve warm for a soothing meal.,Winter
68,Japanese Pancakes (Soufflé Pancakes),Fluffy and airy pancakes made with beaten egg whites for a light texture.,"2 eggs, 1/4 cup flour, 1/4 cup milk, 1 tbsp sugar, 1/2 tsp vanilla extract, 1/2 tsp baking powder, 1 tbsp butter","1. Separate egg whites and yolks. 2. Beat egg whites with sugar until stiff peaks form. 3. Mix yolks with milk, vanilla extract, and flour. 4. Gently fold the egg whites into the yolk mixture. 5. Heat butter in a pan and cook pancakes on low heat. 6. Cover with a lid and let them rise while cooking. 7. Serve with syrup and fruits.",Summer
69,Natto Gohan,A traditional Japanese breakfast dish featuring fermented soybeans (natto) served over steamed rice with soy sauce and mustard.,"1 cup cooked rice, 1 pack natto, 1 tsp soy sauce, 1/2 tsp Japanese mustard, 1 tbsp chopped green onions, 1 raw egg (optional), 1/2 tsp sesame seeds",1. Cook rice and keep it warm. 2. Open the natto pack and mix well with the provided sauce and mustard. 3. Place the natto over the warm rice. 4. Sprinkle chopped green onions and sesame seeds on top. 5. Crack a raw egg over the dish if desired. 6. Mix well before eating. 7. Serve with miso soup and pickles for a complete breakfast.,Winter
70,Chagayu (Japanese Tea Porridge),"A light and nutritious rice porridge cooked with Japanese tea, perfect for a gentle morning meal.","1/2 cup cooked rice, 1 cup Japanese green tea (hojicha or sencha), 1/2 tsp salt, 1 tsp soy sauce, 1 tbsp chopped pickles, 1 tsp sesame seeds","1. Brew a cup of Japanese green tea. 2. Add cooked rice to a pot and pour in the tea. 3. Simmer the mixture for about 5 minutes until the rice absorbs the tea flavor. 4. Stir in salt and soy sauce. 5. Serve hot with pickles and sesame seeds on top. 6. Optionally, add dried seaweed for extra flavor. 7. Enjoy with a side of grilled fish or miso soup.",Rainy
71,Oshizushi (Pressed Sushi),A breakfast sushi dish where vinegared rice and toppings are pressed into a wooden mold for a compact and flavorful bite.,"1 cup sushi rice, 2 tbsp rice vinegar, 1 tsp sugar, 1/2 tsp salt, 4 slices smoked salmon, 1/2 avocado sliced, 1 sheet nori, 1 tsp wasabi, 1 tbsp pickled ginger","1. Cook sushi rice and mix with rice vinegar, sugar, and salt. 2. Line a sushi mold with plastic wrap and place a sheet of nori at the bottom. 3. Layer half of the rice, pressing firmly. 4. Add smoked salmon, avocado slices, and a bit of wasabi. 5. Add the remaining rice on top and press firmly. 6. Remove from the mold and slice into bite-sized pieces. 7. Serve with pickled ginger and soy sauce.",Summer
72,Shirasu Don,A simple rice bowl topped with tiny whitebait fish (shirasu) and a soft-poached egg for a protein-rich breakfast.,"1 cup cooked rice, 1/2 cup shirasu (whitebait), 1 soft-poached egg, 1 tsp soy sauce, 1 tbsp chopped green onions, 1 tsp sesame oil, 1 sheet nori (shredded)",1. Prepare a bowl of warm cooked rice. 2. Place shirasu (whitebait) over the rice evenly. 3. Add a soft-poached egg on top. 4. Drizzle with soy sauce and sesame oil. 5. Sprinkle with chopped green onions and shredded nori. 6. Mix gently before eating. 7. Serve with a side of miso soup and pickled vegetables.,Winter
73,Okayu (Japanese Rice Porridge),"A comforting and mild rice porridge that is easy to digest, perfect for cold mornings or when feeling unwell.","1/2 cup cooked rice, 2 cups water, 1/2 tsp salt, 1 tbsp soy sauce, 1 tsp grated ginger, 1 soft-boiled egg, 1 tbsp chopped green onions, 1 tsp sesame seeds","1. In a pot, add cooked rice and water, then bring to a gentle simmer. 2. Stir occasionally and cook until the rice becomes soft and porridge-like. 3. Add salt, soy sauce, and grated ginger for flavor. 4. Crack a soft-boiled egg on top and let it warm in the porridge. 5. Sprinkle with green onions and sesame seeds before serving. 6. Serve hot with pickles on the side. 7. Enjoy with a cup of green tea for a complete meal.",Rainy
75,Chazuke,"A simple and comforting dish where hot green tea or dashi broth is poured over rice, often topped with grilled fish, seaweed, and sesame seeds.","1 cup cooked rice, 1/2 cup green tea or dashi, 1/4 cup grilled salmon (flaked), 1 tsp sesame seeds, 1 tbsp chopped nori, 1/2 tsp soy sauce, 1/2 tsp wasabi (optional)",1. Place cooked rice in a bowl. 2. Flake the grilled salmon and spread over the rice. 3. Sprinkle sesame seeds and chopped nori. 4. Pour hot green tea or dashi over the rice. 5. Drizzle soy sauce and mix lightly. 6. Add wasabi if desired and serve hot.,Winter
76,Shirasu Don,"A nutritious rice bowl topped with fresh or boiled whitebait (shirasu), often eaten with soy sauce and a raw egg yolk.","1 cup cooked rice, 1/2 cup shirasu (whitebait), 1 raw egg yolk, 1 tbsp soy sauce, 1 tsp sesame seeds, 1 tbsp chopped green onions",1. Place warm cooked rice in a bowl. 2. Spread shirasu evenly over the rice. 3. Make a small well in the center and add the raw egg yolk. 4. Drizzle soy sauce over the dish. 5. Sprinkle sesame seeds and chopped green onions. 6. Mix everything before eating.,Summer
77,Miso Grilled Mackerel,"A traditional breakfast dish featuring mackerel marinated in miso and grilled to perfection, served with rice and miso soup.","1 fillet mackerel, 2 tbsp miso paste, 1 tbsp sake, 1 tsp mirin, 1 tsp sugar, 1/2 tsp soy sauce, 1 cup cooked rice","1. Mix miso, sake, mirin, sugar, and soy sauce to create a marinade. 2. Coat the mackerel fillet with the marinade and let it sit for 30 minutes. 3. Preheat a grill and cook the mackerel for 4-5 minutes on each side. 4. Serve hot with a bowl of rice and miso soup on the side.",Rainy
78,Tamagoyaki Sandwich,"A fusion of Japanese and Western breakfast, featuring sweet Japanese rolled omelet (Tamagoyaki) inside fluffy bread.","3 eggs, 1 tbsp sugar, 1 tbsp soy sauce, 1 tbsp dashi, 1 tsp vegetable oil, 2 slices sandwich bread, 1 tbsp mayonnaise","1. Beat eggs with sugar, soy sauce, and dashi. 2. Heat oil in a pan and cook the egg mixture in layers to make Tamagoyaki. 3. Slice the rolled omelet into thick pieces. 4. Spread mayonnaise on the bread slices. 5. Place the Tamagoyaki inside and press lightly. 6. Slice the sandwich in half and serve.",Summer
79,Gyeran Bap (Egg Rice),"A simple and comforting Korean breakfast made with rice, fried egg, soy sauce, and sesame oil.","1 cup cooked rice, 1 egg, 1/2 tbsp soy sauce, 1/2 tbsp sesame oil, 1/2 tsp sesame seeds, 1 green onion (chopped), 1/4 tsp black pepper","1. Heat a pan and fry the egg to your preferred doneness. 2. Place the cooked rice in a bowl and drizzle with soy sauce and sesame oil. 3. Top the rice with the fried egg. 4. Sprinkle sesame seeds, chopped green onions, and black pepper over the egg. 5. Mix everything together before eating for the best flavor. 6. Serve warm with kimchi on the side.",Winter
